Balance sheet,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
Total Assets,"30,264.00","34,406.00","39,303.00","37,680.00","43,804.00",
Non-current assets,"22,424.00","23,855.00","26,059.00","26,976.00","28,618.00",
Current assets,"7,840.00","10,551.00","13,244.00","10,704.00","15,186.00",
Total liabilities,"28,954.00","33,566.00","37,287.00","34,408.00","37,634.00",
Non-current liabilities,"17,432.00","20,282.00","20,620.00","17,423.00","18,267.00",
Current liabilities,"11,516.00","13,278.00","16,661.00","16,979.00","19,361.00",
Net assets,"1,310.00",840.00,"2,016.00","3,272.00","6,170.00",
Total Equity,"1,316.00",846.00,"2,022.00","3,278.00","6,176.00",
Shareholders Funds,"1,310.00",840.00,"2,016.00","3,272.00","6,170.00",
Non-controlling Interests,6.00,6.00,6.00,6.00,6.00,
