Balance sheet,"31.03.20
($m)","31.03.21
($m)","31.03.22
($m)","31.03.23
($m)","31.03.24
($m)",
Total Assets,"8,899.00","10,071.00","10,894.00","10,864.00","11,712.00",
Non-current assets,"7,499.00","8,640.00","9,221.00","9,070.00","9,634.00",
Current assets,"1,400.00","1,431.00","1,673.00","1,794.00","2,078.00",
Total liabilities,"6,624.00","6,990.00","6,925.00","6,935.00","7,078.00",
Non-current liabilities,"4,394.00","4,536.00","4,922.00","4,589.00","4,080.00",
Current liabilities,"2,224.00","2,416.00","1,965.00","2,311.00","2,963.00",
Net assets,"2,275.00","3,081.00","3,969.00","3,929.00","4,634.00",
Total Equity,"2,281.00","3,119.00","4,007.00","3,964.00","4,669.00",
Shareholders Funds,"2,275.00","3,081.00","3,969.00","3,929.00","4,634.00",
Non-controlling Interests,6.00,38.00,38.00,35.00,35.00,
