Balance sheet,"30.09.20
(£m)","30.09.21
(£m)","30.09.22
(£m)","30.09.23
(£m)","30.09.24
($m)",
Total Assets,"14,734.00","14,868.00","18,748.00","17,600.00","24,349.00",
Non-current assets,"10,492.00","9,916.00","12,063.00","11,905.00","16,856.00",
Current assets,"4,242.00","4,952.00","6,685.00","5,695.00","7,493.00",
Total liabilities,"9,944.00","9,977.00","12,874.00","12,464.00","17,520.00",
Non-current liabilities,"5,422.00","4,722.00","5,810.00","4,804.00","7,371.00",
Current liabilities,"4,499.00","5,227.00","7,033.00","7,635.00","10,072.00",
Net assets,"4,790.00","4,891.00","5,874.00","5,136.00","6,829.00",
Total Equity,"4,813.00","4,919.00","5,905.00","5,161.00","6,906.00",
Shareholders Funds,"4,790.00","4,891.00","5,874.00","5,136.00","6,829.00",
Non-controlling Interests,23.00,28.00,31.00,25.00,77.00,
