Balance sheet What's this?,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
Total Assets,"8,367.00","9,261.00","10,847.00","9,964.00","9,341.00",
Non-current assets,"6,107.00","6,340.00","5,578.00","6,041.00","6,562.00",
Current assets,"2,260.00","2,921.00","5,269.00","3,923.00","2,779.00",
Total liabilities,"4,365.00","4,763.00","5,053.00","4,309.00","4,484.00",
Non-current liabilities,"2,595.00","2,637.00","2,472.00","1,987.00","2,506.00",
Current liabilities,"1,390.00","1,735.00","2,121.00","1,881.00","1,485.00",
Net assets,"4,002.00","4,498.00","5,794.00","5,655.00","4,857.00",
Total Equity,"4,382.00","4,889.00","6,254.00","6,096.00","5,350.00",
Shareholders Funds,"4,002.00","4,498.00","5,794.00","5,655.00","4,857.00",
Non-controlling Interests,380.00,391.00,460.00,441.00,493.00,
