Balance sheet What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Assets,"871,269.00","886,525.00","877,829.00","881,453.00","906,697.00",
Total liabilities,"822,085.00","833,608.00","830,552.00","834,289.00","860,981.00",
Net assets,"49,184.00","52,917.00","47,277.00","47,164.00","45,716.00",
Total Equity,"49,413.00","53,152.00","47,521.00","47,365.00","45,888.00",
Shareholders Funds,"49,184.00","52,917.00","47,277.00","47,164.00","45,716.00",
Non-controlling Interests,229.00,235.00,244.00,201.00,172.00,
