Income statement,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
Total Revenue,-,-,23.26,"-2,809.97","1,467.92",
Benefits & operating expenses,-,-,-,-,-,
Pre tax profits (from continued & discontinued),974.27,"9,217.10",-,-,-,
Taxes,-,-,-,-,-,
After tax profits (from continued & discontinued),-,-,-,-,-,
Below line adjustments,-,-,-,-,-,
Net profit (from continued & discontinued),-,-,"-2,544.35","-2,922.14","1,365.96",
Non-controlling Interests,-,-,-,-,-,
Equity Holders of parent company,973.06,"9,213.66","-2,544.35","-2,922.14","1,365.96",
Continued EPS - Basic,-,-,-178.32p,-204.59p,97.28p,
Continued & Discontinued EPS - Basic,66.10p,632.84p,-178.32p,-204.59p,97.28p,
Dividend per share,3.25p,3.42p,3.59p,4.10p,4.24p,
