Balance sheet,"31.12.20
($m)","31.12.21
($m)","31.12.22
($m)","31.12.23
($m)","31.12.24
($m)",
Total Assets,"97,390.00","102,896.00","96,744.00","103,549.00","102,786.00",
Non-current assets,"76,535.00","78,464.00","77,771.00","82,039.00","83,666.00",
Current assets,"20,855.00","24,432.00","18,973.00","21,510.00","19,120.00",
Total liabilities,"50,336.00","51,464.00","46,569.00","48,963.00","47,540.00",
Non-current liabilities,"33,880.00","33,679.00","32,867.00","34,465.00","33,078.00",
Current liabilities,"11,607.00","12,627.00","11,603.00","12,743.00","11,743.00",
Net assets,"47,054.00","51,432.00","50,175.00","54,586.00","55,246.00",
Total Equity,"51,903.00","56,590.00","52,274.00","56,341.00","57,965.00",
Shareholders Funds,"47,054.00","51,432.00","50,175.00","54,586.00","55,246.00",
Non-controlling Interests,"4,849.00","5,158.00","2,099.00","1,755.00","2,719.00",
