Balance sheet What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Assets,"29,517.00","28,674.00","29,450.00","31,512.00","35,686.00",
Non-current assets,"15,186.00","15,387.00","13,439.00","13,401.00","14,213.00",
Current assets,"14,331.00","13,287.00","16,011.00","18,111.00","21,473.00",
Total liabilities,"34,414.00","33,336.00","35,500.00","35,193.00","36,598.00",
Non-current liabilities,"20,464.00","21,428.00","21,548.00","20,160.00","19,704.00",
Current liabilities,"13,700.00","11,159.00","13,918.00","14,926.00","16,763.00",
Net assets,"-4,897.00","-4,662.00","-6,050.00","-3,681.00",-912.00,
Total Equity,"-4,875.00","-4,636.00","-6,016.00","-3,629.00",-881.00,
Shareholders Funds,"-4,897.00","-4,662.00","-6,050.00","-3,681.00",-912.00,
Non-controlling Interests,22.00,26.00,34.00,52.00,31.00,
