Balance sheet What's this?,"07.03.20
(£m)","06.03.21
(£m)","05.03.22
(£m)","04.03.23
(£m)","02.03.24
(£m)",
Total Assets,"27,937.00","25,162.00","26,912.00","26,158.00","25,061.00",
Non-current assets,"20,351.00","18,089.00","20,162.00","18,265.00","17,490.00",
Current assets,"7,586.00","7,073.00","6,750.00","7,893.00","7,571.00",
Total liabilities,"20,164.00","18,558.00","18,489.00","18,905.00","18,193.00",
Non-current liabilities,"8,117.00","6,841.00","8,621.00","7,291.00","6,741.00",
Current liabilities,"12,047.00","11,717.00","9,868.00","11,614.00","11,452.00",
Net assets,"7,773.00","6,604.00","8,423.00","7,253.00","6,868.00",
Total Equity,"7,773.00","6,604.00","8,423.00","7,253.00","6,868.00",
Shareholders Funds,"7,773.00","6,604.00","8,423.00","7,253.00","6,868.00",
Non-controlling Interests,-,-,-,-,-,
