Balance sheet What's this?,"30.09.20
(£m)","30.09.21
(£m)","30.09.22
(£m)","30.09.23
(£m)","30.09.24
(£m)",
Total Assets,"32,310.00","29,090.00","30,958.00","29,491.00","27,826.00",
Non-current assets,"22,660.00","20,883.00","22,037.00","20,896.00","19,630.00",
Current assets,"9,650.00","8,207.00","8,921.00","8,595.00","8,196.00",
Total liabilities,"27,439.00","23,738.00","24,098.00","23,470.00","22,384.00",
Non-current liabilities,"14,467.00","12,342.00","12,346.00","10,950.00","10,335.00",
Current liabilities,"12,325.00","10,808.00","11,139.00","11,899.00","11,462.00",
Net assets,"4,871.00","5,352.00","6,860.00","6,021.00","5,442.00",
Total Equity,"5,518.00","5,940.00","7,473.00","6,642.00","6,029.00",
Shareholders Funds,"4,871.00","5,352.00","6,860.00","6,021.00","5,442.00",
Non-controlling Interests,647.00,588.00,613.00,621.00,587.00,
