Balance sheet,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Assets,"17,119.00","27,086.00","29,038.00","21,366.00","18,733.00",
Non-current assets,"6,707.00","7,201.00","8,350.00","5,300.00","4,589.00",
Current assets,"10,412.00","19,885.00","20,688.00","16,066.00","14,144.00",
Total liabilities,"16,162.00","24,721.00","28,021.00","17,489.00","14,311.00",
Non-current liabilities,"8,072.00","6,360.00","6,047.00","5,997.00","5,019.00",
Current liabilities,"7,665.00","17,976.00","21,711.00","11,136.00","8,902.00",
Net assets,957.00,"2,365.00","1,017.00","3,877.00","4,422.00",
Total Equity,"1,382.00","2,750.00","1,280.00","4,233.00","4,812.00",
Shareholders Funds,957.00,"2,365.00","1,017.00","3,877.00","4,422.00",
Non-controlling Interests,425.00,385.00,263.00,356.00,390.00,
