Balance sheet,"30.09.20
(£m)","30.09.21
(£m)","30.09.22
(£m)","30.09.23
(£m)","30.09.24
(£m)",
Total Assets,"8,473.00","9,773.00","10,454.00","9,841.00","11,035.00",
Non-current assets,"5,910.00","5,608.00","5,525.00","5,711.00","6,490.00",
Current assets,"2,563.00","4,165.00","4,929.00","4,130.00","4,545.00",
Total liabilities,"6,574.00","7,134.00","7,921.00","7,054.00","8,062.00",
Non-current liabilities,"2,748.00","4,457.00","4,243.00","2,910.00","3,591.00",
Current liabilities,"3,826.00","2,677.00","3,678.00","4,144.00","4,471.00",
Net assets,"1,899.00","2,639.00","2,533.00","2,787.00","2,973.00",
Total Equity,"1,899.00","2,639.00","2,533.00","2,787.00","2,973.00",
Shareholders Funds,"1,899.00","2,639.00","2,533.00","2,787.00","2,973.00",
Non-controlling Interests,-,-,-,-,-,
