Balance sheet What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
Total Assets,"67,089.00","67,216.00","94,860.00","92,697.00","98,325.00",
Non-current assets,"61,288.00","57,278.00","76,897.00","83,531.00","87,946.00",
Current assets,"5,801.00","9,938.00","17,963.00","9,166.00","10,379.00",
Total liabilities,"47,527.00","47,377.00","71,027.00","63,159.00","68,458.00",
Non-current liabilities,"38,941.00","37,988.00","46,234.00","54,005.00","57,044.00",
Current liabilities,"8,564.00","9,368.00","24,770.00","9,130.00","11,389.00",
Net assets,"19,562.00","19,839.00","23,833.00","29,538.00","29,867.00",
Total Equity,"19,584.00","19,860.00","23,856.00","29,562.00","29,892.00",
Shareholders Funds,"19,562.00","19,839.00","23,833.00","29,538.00","29,867.00",
Non-controlling Interests,22.00,21.00,23.00,24.00,25.00,
