Balance sheet What's this?,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
Total Assets,"67,659.00","75,095.00","77,821.00","75,266.00","79,750.00",
Non-current assets,"51,502.00","57,694.00","58,664.00","57,364.00","60,556.00",
Current assets,"16,157.00","17,401.00","19,157.00","17,902.00","19,194.00",
Total liabilities,"52,393.00","57,988.00","58,800.00","57,164.00","59,760.00",
Non-current liabilities,"29,412.00","30,571.00","30,693.00","30,995.00","31,961.00",
Current liabilities,"20,592.00","24,778.00","25,427.00","23,507.00","25,234.00",
Net assets,"15,266.00","17,107.00","19,021.00","18,102.00","19,990.00",
Total Equity,"17,655.00","19,746.00","21,701.00","20,764.00","22,555.00",
Shareholders Funds,"15,266.00","17,107.00","19,021.00","18,102.00","19,990.00",
Non-controlling Interests,"2,389.00","2,639.00","2,680.00","2,662.00","2,565.00",
