Balance sheet,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Assets,"27,530.00","27,135.00","31,462.00","32,064.00","38,142.00",
Non-current assets,"18,124.00","18,317.00","20,828.00","20,291.00","26,389.00",
Current assets,"9,406.00","8,818.00","10,634.00","11,773.00","11,753.00",
Total liabilities,"22,887.00","19,699.00","20,247.00","21,505.00","26,526.00",
Non-current liabilities,"13,226.00","10,771.00","10,216.00","10,398.00","14,023.00",
Current liabilities,"9,383.00","8,696.00","9,846.00","10,943.00","12,342.00",
Net assets,"4,643.00","7,436.00","11,215.00","10,559.00","11,616.00",
Total Equity,"4,921.00","7,668.00","11,400.00","10,723.00","11,777.00",
Shareholders Funds,"4,643.00","7,436.00","11,215.00","10,559.00","11,616.00",
Non-controlling Interests,278.00,232.00,185.00,164.00,161.00,
