Balance sheet What's this?,"31.12.20
(€m)","31.12.21
(€m)","31.12.22
(€m)","31.12.23
(€m)","31.12.24
(€m)",
Total Assets,"19,237.00","29,090.00","29,313.00","29,254.00","31,100.00",
Non-current assets,"15,161.00","23,330.00","22,770.00","22,649.00","24,462.00",
Current assets,"4,076.00","5,760.00","6,543.00","6,605.00","6,638.00",
Total liabilities,"13,212.00","22,057.00","21,866.00","21,278.00","22,611.00",
Non-current liabilities,"9,072.00","15,787.00","14,553.00","14,000.00","13,966.00",
Current liabilities,"4,140.00","6,093.00","7,313.00","7,278.00","8,149.00",
Net assets,"6,025.00","7,033.00","7,447.00","7,976.00","8,489.00",
Total Equity,"6,025.00","7,210.00","7,447.00","7,976.00","8,985.00",
Shareholders Funds,"6,025.00","7,033.00","7,447.00","7,976.00","8,489.00",
Non-controlling Interests,-,177.00,-,-,496.00,
