Balance sheet What's this?,"12.09.20
(£m)","18.09.21
(£m)","17.09.22
(£m)","16.09.23
(£m)","14.09.24
(£m)",
Total Assets,"16,669.00","16,895.00","19,775.00","18,844.00","19,014.00",
Non-current assets,"10,916.00","10,790.00","11,941.00","12,105.00","12,494.00",
Current assets,"5,753.00","6,105.00","7,834.00","6,739.00","6,520.00",
Total liabilities,"7,314.00","6,974.00","8,327.00","7,751.00","7,828.00",
Non-current liabilities,"4,077.00","3,609.00","4,168.00","3,962.00","4,068.00",
Current liabilities,"3,153.00","3,282.00","4,053.00","3,689.00","3,668.00",
Net assets,"9,355.00","9,921.00","11,448.00","11,093.00","11,186.00",
Total Equity,"9,439.00","10,004.00","11,554.00","11,193.00","11,278.00",
Shareholders Funds,"9,355.00","9,921.00","11,448.00","11,093.00","11,186.00",
Non-controlling Interests,84.00,83.00,106.00,100.00,92.00,
