Balance sheet What's this?,"31.03.20
(£m)","31.03.21
(£m)","31.03.22
(£m)","31.03.23
(£m)","31.03.24
(£m)",
Total Assets,"1,937.80","1,877.90","2,197.00","2,788.40","2,999.90",
Non-current assets,"1,362.60","1,303.80","1,484.30","1,892.80","2,088.20",
Current assets,575.20,574.10,712.70,895.60,911.70,
Total liabilities,800.20,710.90,794.30,"1,189.60","1,263.40",
Non-current liabilities,487.70,462.30,430.00,848.30,891.30,
Current liabilities,313.20,248.00,363.90,341.20,372.10,
Net assets,"1,137.60","1,167.00","1,402.70","1,598.80","1,736.50",
Total Equity,"1,136.90","1,167.60","1,403.10","1,598.90","1,736.50",
Shareholders Funds,"1,137.60","1,167.00","1,402.70","1,598.80","1,736.50",
Non-controlling Interests,-0.70,0.60,0.40,0.10,-,
