Balance sheet What's this?,"31.01.21
(£m)","31.01.22
(£m)","31.01.23
(£m)","31.01.24
(£m)","31.01.25
(£m)",
Total Assets,"12,269.00","12,352.00","12,103.00","11,900.00","11,443.00",
Non-current assets,"8,312.00","8,404.00","8,341.00","8,204.00","7,854.00",
Current assets,"3,957.00","3,948.00","3,762.00","3,696.00","3,589.00",
Total liabilities,"5,698.00","5,574.00","5,440.00","5,296.00","5,099.00",
Non-current liabilities,"2,515.00","2,458.00","2,541.00","2,434.00","2,172.00",
Current liabilities,"3,183.00","3,116.00","2,899.00","2,862.00","2,927.00",
Net assets,"6,571.00","6,778.00","6,663.00","6,604.00","6,344.00",
Total Equity,"6,571.00","6,778.00","6,663.00","6,604.00","6,344.00",
Shareholders Funds,"6,571.00","6,778.00","6,663.00","6,604.00","6,344.00",
Non-controlling Interests,-,-,-,-,-,
