Balance sheet,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Assets,"799,491.00","781,992.00","720,053.00","692,673.00","707,985.00",
Total liabilities,"755,631.00","740,196.00","683,565.00","655,516.00","668,635.00",
Net assets,"43,860.00","41,796.00","36,488.00","37,157.00","39,350.00",
Total Equity,"43,824.00","41,803.00","36,496.00","37,188.00","39,378.00",
Shareholders Funds,"43,860.00","41,796.00","36,488.00","37,157.00","39,350.00",
Non-controlling Interests,-36.00,7.00,8.00,31.00,28.00,
