Income statement,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Revenue,"2,611.70","3,103.00","3,005.80","3,021.30","2,970.00",
Benefits & operating expenses,-,-,-,-,-,
Pre tax profits (from continued & discontinued),-,-,-,-,-,
Taxes,-,-,-,-,-,
After tax profits (from continued & discontinued),-,-,-,-,-,
Below line adjustments,-,-,-,-,-,
Net profit (from continued & discontinued),486.00,623.80,486.20,402.60,433.00,
Non-controlling Interests,-,-,-,-,-16.00,
Equity Holders of parent company,486.00,623.80,486.20,402.60,417.00,
Continued EPS - Basic,172.40p,220.80p,30.40p,24.60p,26.40p,
Continued & Discontinued EPS - Basic,172.40p,220.80p,30.40p,24.60p,26.40p,
Dividend per share,114.00p,122.00p,21.50p,21.50p,21.50p,
