Balance sheet What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Assets,"137,690.00","137,365.00","153,546.00","118,716.00","118,899.00",
Non-current assets,"124,078.00","124,558.00","138,137.00","104,530.00","104,605.00",
Current assets,"13,612.00","12,807.00","15,409.00","14,186.00","14,294.00",
Total liabilities,"75,017.00","70,264.00","78,178.00","66,150.00","69,256.00",
Non-current liabilities,"59,257.00","54,820.00","59,983.00","50,109.00","50,161.00",
Current liabilities,"15,478.00","15,144.00","17,853.00","15,673.00","18,743.00",
Net assets,"62,673.00","67,101.00","75,368.00","52,566.00","49,643.00",
Total Equity,"62,955.00","67,401.00","75,710.00","52,934.00","49,995.00",
Shareholders Funds,"62,673.00","67,101.00","75,368.00","52,566.00","49,643.00",
Non-controlling Interests,282.00,300.00,342.00,368.00,352.00,
