Balance sheet,"31.07.20
(£m)","31.07.21
(£m)","31.07.22
(£m)","31.07.23
(£m)","31.07.24
(£m)",
Total Assets,"5,413.00","5,337.00","5,223.00","4,355.00","4,232.00",
Non-current assets,"2,647.00","2,601.00","2,805.00","2,609.00","2,276.00",
Current assets,"2,766.00","2,736.00","2,418.00","1,746.00","1,956.00",
Total liabilities,"3,040.00","2,935.00","2,524.00","1,971.00","2,002.00",
Non-current liabilities,"2,018.00","1,927.00","1,103.00","1,051.00","1,033.00",
Current liabilities,"1,001.00",987.00,"1,399.00",898.00,947.00,
Net assets,"2,373.00","2,402.00","2,699.00","2,384.00","2,230.00",
Total Equity,"2,394.00","2,423.00","2,721.00","2,406.00","2,252.00",
Shareholders Funds,"2,373.00","2,402.00","2,699.00","2,384.00","2,230.00",
Non-controlling Interests,21.00,21.00,22.00,22.00,22.00,
