Balance sheet What's this?,"31.12.20
(£m)","31.12.21
(£m)","31.12.22
(£m)","31.12.23
(£m)","31.12.24
(£m)",
Total Assets,"1,349,514.00","1,384,285.00","1,513,699.00","1,477,487.00","1,518,202.00",
Total liabilities,"1,283,717.00","1,315,063.00","1,445,407.00","1,406,283.00","1,446,381.00",
Net assets,"65,797.00","69,222.00","68,292.00","71,204.00","71,821.00",
Total Equity,"66,882.00","70,211.00","69,260.00","71,864.00","72,481.00",
Shareholders Funds,"65,797.00","69,222.00","68,292.00","71,204.00","71,821.00",
Non-controlling Interests,"1,085.00",989.00,968.00,660.00,660.00,
